age,balance,Cluster,Recommendation
59,2343,0,Tabungan Jangka Panjang
56,45,0,Tabungan Jangka Panjang
41,1270,0,Tabungan Jangka Panjang
55,2476,0,Tabungan Jangka Panjang
54,184,0,Tabungan Jangka Panjang
42,0,0,Tabungan Jangka Panjang
56,830,0,Tabungan Jangka Panjang
60,545,0,Tabungan Jangka Panjang
37,1,0,Tabungan Jangka Panjang
28,5090,2,Investasi Reksa Dana
38,100,0,Tabungan Jangka Panjang
30,309,0,Tabungan Jangka Panjang
29,199,0,Tabungan Jangka Panjang
46,460,0,Tabungan Jangka Panjang
31,703,0,Tabungan Jangka Panjang
35,3837,2,Investasi Reksa Dana
32,611,0,Tabungan Jangka Panjang
49,-8,0,Tabungan Jangka Panjang
41,55,0,Tabungan Jangka Panjang
49,168,0,Tabungan Jangka Panjang
28,785,0,Tabungan Jangka Panjang
43,2067,0,Tabungan Jangka Panjang
43,388,0,Tabungan Jangka Panjang
43,-192,0,Tabungan Jangka Panjang
37,381,0,Tabungan Jangka Panjang
35,40,0,Tabungan Jangka Panjang
31,22,0,Tabungan Jangka Panjang
43,3,0,Tabungan Jangka Panjang
31,307,0,Tabungan Jangka Panjang
28,759,0,Tabungan Jangka Panjang
32,-1,0,Tabungan Jangka Panjang
60,65,0,Tabungan Jangka Panjang
26,82,0,Tabungan Jangka Panjang
40,10,0,Tabungan Jangka Panjang
33,390,0,Tabungan Jangka Panjang
32,311,0,Tabungan Jangka Panjang
35,414,0,Tabungan Jangka Panjang
33,5,0,Tabungan Jangka Panjang
38,119,0,Tabungan Jangka Panjang
23,4,0,Tabungan Jangka Panjang
60,1262,0,Tabungan Jangka Panjang
48,1949,0,Tabungan Jangka Panjang
45,-395,0,Tabungan Jangka Panjang
36,1165,0,Tabungan Jangka Panjang
52,2240,0,Tabungan Jangka Panjang
35,300,0,Tabungan Jangka Panjang
43,3285,0,Tabungan Jangka Panjang
52,3923,2,Investasi Reksa Dana
53,1443,0,Tabungan Jangka Panjang
48,24,0,Tabungan Jangka Panjang
41,1618,0,Tabungan Jangka Panjang
39,517,0,Tabungan Jangka Panjang
59,1521,0,Tabungan Jangka Panjang
41,2823,0,Tabungan Jangka Panjang
48,1405,0,Tabungan Jangka Panjang
40,1535,0,Tabungan Jangka Panjang
48,1596,0,Tabungan Jangka Panjang
60,1542,0,Tabungan Jangka Panjang
40,3652,2,Investasi Reksa Dana
57,-1,0,Tabungan Jangka Panjang
51,7180,2,Investasi Reksa Dana
41,5291,2,Investasi Reksa Dana
41,1384,0,Tabungan Jangka Panjang
52,-191,0,Tabungan Jangka Panjang
59,320,0,Tabungan Jangka Panjang
44,146,0,Tabungan Jangka Panjang
49,341,0,Tabungan Jangka Panjang
40,-9,0,Tabungan Jangka Panjang
41,-306,0,Tabungan Jangka Panjang
